transcription,transcription_length
"여보세요. 네, 여보세요. 안녕하세요. JP 친해저축은행 법인콜센터 상담원 오윤정입니다. 고객님. 고객님 저희가 타사 쪽에서 높은 금리대로 이용하시는 자금이 있으시면요. 저희가 이번에 낮은 금리대로 부채 통합이나 추가적인 자금을 지원해드리고 있으세요. 네. 저희 JT 친해저 저축은행에서 자금 나가시는 거고요. 혹시 높은 금리로 이용되시는 자금은 있으세요? 상담원분 성함 먼저 좀 알려주세요. 네? 고객님 저는 오윤정이라고 합니다. 고객님. 저희가 상담 접수가 되시면 고객님 상담원 성함이나 전화번호 문자 발송을 해드리고 있어요. 그래서 요즘에 개인정보 유증권이라든지 중기업주라든지 문제가 많으시잖아요. 저희가 고객님의 신상을 알고 연락드리는 건 아니시고요. 저희는 고객님 중격지 아니시고요. 저희 JT 친할 저축은행이시고요. 고객님께서 확인해보시라고 저희가 문자메시지까지 다 발송을 해드리는 거기 때문에 충분히 확인하신 다음에 상담을 해드리는 거예요. 네. 알겠습니다.",487
안녕하세요 농협 캐프탈입니다 저희가 이달에 대출조건이 많이 풀었습니다 혹시 이달에 필요하신 자금이나 대안할거 있으세요? 누구세요? 농협 캐프탈이에요 그러니까 거기 누구신데요? 네? 김지현이죠? 작은데 있으세요? 없어요? 제가 누군지 아세요? 뭘로지 내가 어떻게 알아요? 고객님은 근데 왜 잘하셨어요? 아휴 참 너도 답답하게 산다.,184
여보세요? 우리 금융인데요. 대출 필요하신 분 맞으시죠? 우리 금융이요? 네 우리 금융. 금융사에서 대출도 해주나요? 그렇죠. 이 금융권인데 대출을 요즘 전환상으로 가능하세요. 제가 우리 금융에서 바로 받는 거예요? 그렇죠. 저희 쪽에서 바로 해드리는 거죠. 지점이 어떻게 되는 건가요? 서울에 있어요. 서울에. 서울이요? 서울 어디요? 끊으세요. 의심스러우시면 안 하셔도 상관없어요. 서울 어디에요?,224
"6시 돼가지고 전화 한번 드려봤습니다. 예예. 앞전에 임현주 법무사님 영수증 확인되셨는데 나머지 차액 부분이 있지 않습니까? 차액 부분은 아직 영수증 확인이 안 돼서 지금 전산 열어놓고 저거 기다리고 있고요. 예, 네. 저도 최대한 좀 기다리고 있습니다. 오늘까지 꼭 지금 이제 하면 전산만 확인되면 마무리되는 거 같아요. 저희 쪽에서 이제 임의적으로 받아온게 아니기 때문에 네 전자서명이 어려우시면은 분기로 그 이메일로 받으실 때 저희 쪽 이제 받지 않습니까? 그러시면 전자서명이 안되시면 저희쪽으로 서류를 두번 보내주셔야 되거든요 그거는 녹취전화가 들어가셔야 되가지고 아 그러세요 그러시면 제가 이거 자금 받으시면은 녹취전화로 제가 다시 한번 전화 드릴게요 네 그렇죠 고객님 자금 받기 전까지 금일 퇴근 못하지 않습니까 아 예 알겠습니다 그러면 예 기다릴게요 네 제가 영수증 확인되는대로 바로 전화 드리고 빠르게 결제고사에 올라가서요. 8시 30분 이전에는 제가 최대한 도움드릴 수 있도록 하겠습니다. 네 알겠습니다.",515
"네 여보세요? 네 여보세요? 네 고객님 맞으시죠? 네 맞아요. 아 네 고객님 안녕하세요? 현대캐피탈 결제 부서의 김고은 과정입니다. 네 안녕하세요. 네 안녕하세요. 잠시 송금금 때문에 늦은 시간에 연락을 조금 드렸는데요. 지금 현재 통화 불편하신 건 없으시죠? 아니요. 기다리고 있었어요. 아 기다리셨습니다. 네. 간단한 개인신원 확인차 생년월일 앞자리까지만 빠르게 확인 한번 드릴게요. 네. 네. 5,000원이세요. 네. 이거는 견동사항 없으신 거죠? 네 그러시고요. 진행이 불가능하다고 하셔도 이 부분은 양해를 좀 부탁드리고 내일 오전에 바로 자금 수령하시면 되시는 부분이시거든요. 내일 오전 중에서는 담당자랑 통화 한 번 더 하시고요. 자금 수령 바로 하시면 되시는데요. 그렇죠. 혹시나 하는 상황에 대비를 해서 말씀을 드리는 거고 직원이 남아있어도 전산상이 다쳐버리면 저희도 손 쓸 수 있는 방법이 없다 보니까 그 부분만 양해를 좀 해주시면 되시고요. 지금 전자설명이 안되신다고 담당 통해서 전달을 해주셨는데요. 전자설명 같은 경우에는 담당자 통화하셔서 자금 수령하시면서 녹취전화로 진행 도움을 드릴 거니까요. 네 그 부분은 내일 오전에 담당자랑 녹취전화 하시면서 하시면 되세요. 네 혹시 더 궁금하신 사항 있으신가요? 없어요. 그럼 지금 예약 주체를 해놓은 상태예요. 맞죠? 그쵸 지금부터 예약 송금을 걸어드린 거고요. 예약 송금 대신에 시간은 19시부터 20시까지세요. 고생 많으셨구요 담당자도 진짜 많이 많이 했으니까 고객님께서 위로하니 위로 좀 부탁드릴게요 진행권 종료되시면 밥 한 끼 하셔서 인연도 만들어 가시는게 좋을 것 같아요 정말 좋은 얘기입니다 담당자 연락드리라고 할테니까요 고객님께서 안내받으셨다고 말씀 좀 해주세요 지금 담당자도 퇴근도 안하고 계속 기다리고 있거든요 네 고생 많으셨습니다 네 감사합니다 김고은이었습니다.",921
네 여보세요 네 감사과장 박천명과장입니다 아 네 아 네 고객님 맞으시죠? 네 아 네 어 지금 김상도 대리 좀 찾아주셨다고요 네 저 올라와가지고 병에서 아까 쓰던거 좀 쓰고 있어가지고요 예예 어 전화주신거 어떤것 때문에 연락주신거죠 고객님? 아 어떻게 해야하는거 싶어가지고요? 음 어떤걸 어떻게 하신다는거죠 고객님? 처리를 어떻게 해야하는거죠? 서류 부분이요? 네 허리 부분이요? 고객님께서는 이 부분에 대해서 솔직히 말씀드리면 저는 담당자도 걱정은 되잖아요. 저희 쪽 지점에서 근무하고 있는 직원인데 퇴사까지 당할 위기에 처해 있는데 고객님께서는 대출자금 쪽에 있어서 고객님께서는 무조건 물론 대출자금이 중요하신 건 맞으신데 이 부분에서 일단은 본사건으로 올라가게 되면 저희 쪽 지점 이미지도 나빠지잖아요. 그렇기 때문에 저는 고객님 최대한 도움 드리는 방면으로 어떻게 해드리려고 연락을 드렸던 건데 고객님께서는 자금적으로 얘기만 해주시니까 이걸 어떻게든 해결을 해야 되는데 이걸로 어떻게든 해결을 해야 고객님도 자금을 정확하게 받아가시고 어차피 담당자는 일단은 금융사 직원이라는 게 그런 부분에서 다 알고 있으면서도 진행했기 때문에 저희 쪽 지점 내에서는 본사건으로 안 올라가게 되더라도 지점 내에서는 이 부분에서 고객님께서 지금 이체카드 증액되신 부분을 고객님이 납부해주신 거잖아요. 지금 납부권 두 건으로 다 알고 계시잖아요. 근데 일단 제가 이거 확인 중에 있다고 일단은 딜레이로 시켜놓은 건데 이 이책카드 증액 부분은 이거 이책카드를 새로 발행을 받으셔가지고요. 고객님 지금 부정납부권으로 올라가셨기 때문에 이거는 제가 어떻게 말을 해도 제가 덮어드릴 수 있는 부분이 아니시잖아요. 그렇기 때문에 이거는 이책카드 재발행을 받으셔가지고 고객님께서 이거 부정거래 없으셨던 걸로 만드신 다음에 금액 놀라운 게 그러면? 어떤 거요? 어떤거요? 이 부분은 고객님께서 고객님도 아시겠지만 저도 확인했지만 이거 대출 진행하시면 좀 힘드셨잖아요. 그러시니까 이거 고객님 담당자가 대납해주신 건 있으시죠? 이 건만 처리를 해주세요. 그러시면 이거는 고객님 재발행 처리 결제부서에 제가 내려가서 결제부서에 재발행 이체 카드를 다시 재발행을 처리한 다음에 고객님이 전액 처리한 걸로 재발행 처리를 할 테니까 그러면 어차피 고객님 거주지역이나 이런 거 좀 문제될 게 없잖아요. 처리를 고객님께 다시 하시면. 그러시니까 이거 담당자가 대납해준 것만 처리해주시고 이거 그러시면 부정납부 건 없던 걸로 해당 법무사님한테 보고를 드린 다음에 이 책카드 재발행한 걸로 제가 보고를 드릴게요. 그러면. 150만 원 다 돈이 됐나 말이에요? 그렇죠. 이거 담당자가 대납해준 것만 재발행 처리하시고 이거 고객님 담당자 거 부정납부 건 잡혀 계신 거잖아요. 이 부분은 황급은 고객님한테 되실 거예요. 고객님 근데 제가 최소한을 덮어드릴 수 있는 부분은 지금 담당 거 고객님 이거 부정거래 있으신 건 고객님께 처리해 주셔야지만 이거 덮어드릴 수가 있는 거고 그렇게 안 되실 경우에는 저희 쪽에서 어떻게 해결을 해드릴 수가 없어요 고객님. 이거 고객님 언제까지 가능하신데요? 이거는 서류 자체를 재작성을 해야지만 처벌 안 되시는 담당자는 어차피 지점 내에서 간본권이든 진급 누락이든은 처해질 거예요. 일단은 오선적으로는 저희 고객님 대출 자금이 더 중요한 거니까 이거는 고객님께서 확실히 제가 언제까지 보류를 시켜드려야 되는지 해당 법무팀한테 저도 말을 해야 될 거 아니에요. 확인 중에 있다 아니면 어떻게 될 거다 이렇게 말씀을 드려야 되기 때문에 해당 법무사님이 본사건으로 바로 요청해버리면 이거는 어쩔 수 없이 제가 덮어드릴 수가 없어요. 그러면 점심까지 제가 일단 12시까지만 어떻게든 딜레이 시켜놓을 테니까 이거 담당 통해가지고 통화하신 다음에 저한테 바로 연락 좀 주세요. 회장님. 점심시간 1시 반까지 회장님. 네네.,1902
예 고객님 담당자 김상도드립니다 지금 법무사님이 두 분 배정되셨어요 지금 이체는 되십니까? 네 지금 준비하고 있어요 아 그러세요? 잠시만요 지금 일단 먼저 법무사님 한 번 안내 좀 해드리겠습니다 메모 가능하십니까? 네 불러주세요 예예 이거... 네... 원입니다 잠시만요 일단 국민은행으로 배정되셨구요 네 국민이요 불러볼게요 네 성함은 어떻게 돼요? 네 제가 법무사님이십니다 지금 바로 보내고 전화드릴게요 입금하고 바로 전화드리고 오면 안전화드릴게요 법무사님은 먼저 98만원이세요 여기 98만원이요? 네 나머지 차액 152만원은 네 다른 법무사님 배정받으셔야 됩니다 이제 금일 정시퇴근이셔서 네네 일단 본부사님의 98만원이십니다 예 알겠어요 그리고 또 다른 하나는요? 예 제가 배정받아야죠 또 우선은 본부사님 98만원 상환처리하신 다음에 전화 바로 좀 부탁드릴게요 저도 법무사님 빠르게 지금 배정요청 중에 있으니까요 네네 제가 지금 빠르게 해서 금일 6시까지 영수증 확인돼가지고 6시 반에는 자금 수령 제가 문제없도록 도움드리겠습니다 네 대리님도 부탁드리겠습니다 네 저 그 차액 부분 50만원에 자금 받으시면 부탁드리겠습니다 네 알겠습니다 300만원 지금 어디에 있는 건데.,601
"네. 네. 신용대출 거래의 이력을 토대로 발급을 내어드린다는 게 어떤 거냐면 신용대출을 이용하시게 되시면 원금이랑 이자 같은 부분을 상환을 하시잖아요. 그 내용을 보고 고객님께서는 저희 쪽 마이너스토리아 발급을 내어드려도 문제없이 사용이 가능하시겠구나 안하시겠구나 이렇게 판단을 했는데 고객님께서는 판단할 수 있는 자료가 없다고 말씀을 해주시더라고요. 그래서 저희 쪽 마이너스 통장 발급 시에 원금과 이자 되는 부분을 원활히 상환을 해주실 수 있는지 상환능력 평가 미달로 현재 부결 처리가 나오셨거든요. 그럼 이게 대출이 있어야 되는 그런 상황인 건가요? 결과가 나오신 게 이렇게 결과가 나오셨는데 솔직히 말씀드려서 제가 심사과에서 어떤 기준으로 심사를 판단을 하는지 정확하게 말씀을 드릴 수가 없죠. 네, 일단 결과는 그렇게 나오셨거든요. 은행에서는 지금 그런 건가요? 심사과에서는 그런 건가요? 제가 마이너스 대출을 받으면 상환할 수 있는 능력이 없다고 안 된다고 판단을 한 건가요? 희한하네. 소득 같은 부분도 그렇게 적으신 편이 아니신데 조금 아쉬운 부분이 좀 많으신데 아, 서민 구제 명목이 아닌 다른 쪽으로 하셔서 마이너스 통장은 다른 쪽으로 발급이 안되는 건가요? 용도가 어떻게 되셨던 거예요? 네 알겠습니다. 네 감사합니다.",637
"여보세요? 지금 한 가지만 여쭤볼게요. 직장인이세요? 아니면 사업자분이세요? 직장인이세요. 연봉은요? 8200이요. 채무는 총 얼마나 있으시죠? 제가 볼 때는 문화위기 심사에서는 나올 것 같으신데요 근데 뭐 안된대요 그리고 제가 이제 그 신용등급이 나이스가 5등급이고 올크레딧이 4등급인가 나오더라고요 제가 보니까 근데 아까 뭐 자중참모등급인가 그게 뭐 9등급이 나온다고 그것 때문에 어렵다 이렇게 얘기를 해서 제가 다른 데 알아보고 있는 중이거든요 나이스 4등급이면 무조건 진행 가능하신데 어떤 직장병이요? 네. 네. 네. 그래도 크게 별반 차이는 없으실 것 같은데 어차피 카드사에서는 신용등급도 보지만 기존에 사용하시는 사용량을 보면서 환경한도가 발생되고 하는 거거든요. 어떤 용도를 사용하시려고 하시는 건가요? 지금 그거 이자가 높아서 대환하려고 했는데 지난달에 했었어요. 지난달에 했는데 그거 다 대환하고 대만 일부 생활자금으로 쓰려고 했던 거죠. 자금은 대환 말고 신규자금은 한 500가량 정도만 더 있으시면 되는 거고요? 네. 알겠습니다. 저희가 한번 조회를 해보고 결과 안내를 해드려 볼 거고요. 마지막으로 본인 확인 위해서 우리 고객님 성함이랑 생년월일만 6자리 확인 한번 부탁드리겠습니다. 네, 소중한 정보 감사드리고요. 저희가 한번 조회를 해보고 결과가 나온 대로 연락을 드릴텐데 아무래도 가주회 때 소요되는 시간은 1시간에서 2시간 소요가 되십니다. 점심 식사 맛있게 하시고 제가 1시 이후로 연락하면 다시 한번 할게요. 네, 알겠습니다. 네, 통화 감사합니다. 감사합니다.",780
"채무 통합관으로 지금 대한대출 진행 도와드리고 있죠. 그러면 저희가 부산에 있는 게 아니고요. 서울 광교 지점에 대외 부서 쪽에 저희가 지점으로 해가지고 저희가 일을 근무를 하고 있습니다. 왜 그렇게 해야 되냐면 저희가 대표적으로 계속 고객님께 통화하다 보면 신용부서하고 저희 대한부서하고 같이 일 처리가 안 됩니다. 그렇기 때문에 저희가 서울 광교 지점에 대외 부서에서 근무를 하고. 네. 지금 확인하실 수 있는 부분이 안 돼요. 그리고 저희가 이제 접수권에 대해서 고객님이 본인 인증하셨고 진행을 하고 이 부분에 대해서는 고객님께 내일이라도 본사적으로 전화하시면 확인 가능하실 겁니다. 이게 제가 지금 어쨌든 시간이 늦어서 그런 건 저도 알고 있는데 제가 확인을 할 수 있는 방법이 아무것도 없으니까 지금 이 시간에는 없죠. 그러니까 빨리 말씀해 주셨으면 근데 말씀드리는 게 뭐냐면 저희가 공무서라는 자체를 혹시 아니 그러면은 혹시 그러면은 제가 정말 죄송한데 늦게 퇴근하셔서 죄송한데 혹시 뭐 제가 받을 수 있는 팩스나 이런 게 하나 있을 수 있나 확인할 수 있는 팩스 고객님께 드리고 어차피 드려야 하는 부분이지만 지금 저희가 팩스로 이런 부분들을 누출을 할 수 있는 부분이 아니에요 저희 쪽 지금 자금 나간 나간 상태도 아니잖아요 이게 저희가 한번 네 예를 들어 중간에 붕 떠버리면은 아 그렇잖아요 저는 이제 이거 제가 카드 대출 받은 건데 다른 사람 거 동의로 네 근데 말씀드릴게요 네네 아 무슨 말씀이세요 아니 죄송해요 의심을 해도 죄송한데 아니요 아니요 고객님 입장에서는 그러실 수 있는 부분 왜냐면 저 한번 아버지 어머니가 당하셔갖고 아 그런 부분이신지는 아시겠습니까? 제가 말이라도 안심드릴 수 있는 부분에 대해서는 제가 최종적으로 말씀드릴게요 어쩔 수 없잖아요 증거적으로 저희가 보여드릴 수 있는 거라면 없는 건 없는 겁니다. 확실한 거는요. 어쩔 수 없어요. 저도. 저도 징계 처리까지 받아가면서까지 고객님들께 이렇게 다 팩스로 보내드리고 싶지만 해드릴 수 있는 부분은 안 됩니다. 그 대신 장담 드릴 수 있는 거는 98만 원이 붕 뜰 이유가 없다는 거예요. 왜 그러냐면 저희가 러시안게시 접수하고 진행하고 고객님이 상하 처리하시고 다 하셨죠. 그러면 고객님 다 확인되셨죠. 저희 쪽에 사기 업체라면 고객님이 그렇게 확인하실 수 있는 부분이 전혀 안 되는 거예요. 그리고 저희가 애가람 쪽으로 고객님께서 그때라도 바로 확인해보시지 그러셨어요. 아니 저희가 고객님 감사권으로 피하실 수 있게끔 최대한 쪽으로 고객님 개인에게 애가람 쪽으로 전화하셔서 잘못 말씀하셔서 그쪽에서도 고객님 뺏기는 입장에서 고객님께서 최대한 유리한 쪽으로 하기 위해서 저희가 전사회관 받아서 진행했던 부분에 대해서 확인을 해본 결과 너 CNDC 쪽으로 상환하셨던 기자로 상환하신 거 맞죠? 저희가 다 확인하고 진행한 거고요. 고객님께서 러시안 캐시가 정리된 부분 확인되셨다면 저희 도움 없이는 그렇게 정리가 안 되셨을 거예요. 그렇죠? 그렇잖아요. 월 이자면 전산관리, 코드비용 그리고 저희가 거래해진 비용까지 다 지급해 드렸으니까요. 그렇잖아요. 저희 도움 없이는 러시안 캐시 정리가 안 됩니다. 근데 정리가 되셨잖아요. 그러면 저희가 98만 원에 대해서는 고객님께서는 그렇게 걱정하실 필요가 없다는 겁니다. 네 맞죠 연락도 안오지 제가 연락을 계속했는데 전화를 안받으시지 제 입장에서는 순간 당했구나 라고 생각을 할 수 밖에 없었어요 처리 보고 올라온 겁니다 지금. 알겠습니다 우선은 네 알겠습니다. 98만원만 지급하신 건 맞습니다. 러시앤캐시 쪽 고객님께서도 이 부분은 의심 안 하시는 이유가 정리가 되는 거 고객님이 직접 확인하신 거잖아요. 제가 믿을 수 있는 것이 하나 있으면 좋을 텐데 그게 없으니까 오늘은 약간 이런 터울이 좀 있으셔가지고 그런 걱정이 있으셨고 부모님도 그런 사고를 좀 있으셨기 때문에 약간 걱정이신 것 같은데 딱 단순하게 생각을 해보시면 딱 답이 나오실 거예요. 러시앤기시를 정리를 하려면 당연히 거래해지면 나머지 부분에 추가적으로 붙습니다. 그 부분에 대해서 고객님이 상한처리를 하셨는지 아니면 우리 측에서 상한처리를 대신 처리를 해주셔서 정리가 된 건지 어차피 고객님은 러시앤기시 정리된 것에 대해서 다 확인하셨잖아요. 네 알겠습니다. 제가 내일 꼭 연락주십시오. 네 알겠습니다.",2132
네 아까 좀 전에 전화드렸었는데 담당때만 모른다고 말씀드리면서 했던 사람이거든요. 성함이 어떻게 되시죠? 아 네 잠시만요 주민번호 앞자리 확인 부탁드리겠습니다. 네 혹시 공철 팀장님 앞으로 접수되는 걸로 나오는데 바로 연결해드릴까요? 네네네 아 저 죄송한데 담당자 성함이 어떻게 되신다고요? 공철요 공철 팀장님 아 네 알겠습니다. 네 잠시만요. 네 감사합니다. 네. 캐피탈에서 캐피탈으로 넘어가는 건데 그게 가능한가요? 일단 캐피탈권에서 몇 % 금리를 사용하세요? 이거는 제안 같은 경우는 국민행복지금에서 고객님한테 보증을 써서 저금리로 가능하신 거잖아요. 그렇기 때문에 일단 20% 이상 사용하시는 상품이 있으시면 그 부분을 저금리로 해서 8%에서 12% 금리로 해서 갈아타시는 상품이세요. 제가 14.6%예요. 그럼 안 되지 않나요? 14.6%요? 아니요. 18이요. 18%요? 네. 20% 이상 사용하시는 상품에 한해서 갈아타실 수가 있으세요. 그런데 아까 그런 거 물어보지 않으셔서. 네. 그래서 저는 그냥 개인정보로 말씀드리긴 했는데. 아마 이렇게 찝찝해가지고 한 번 더 전화드린 거거든요. 아 확인차 전화 주신 거예요? 네. 그런데 죄송한데요. 아직까지 현재 심사 결과가 안 나왔어요. 아 네. 아까 말씀을 드렸는데 빠르면 20분 길면 1시간 정도 소요가 될 거라고 말씀하셨습니다. 네. 거기가 그러면 농협캐피탈 어디 지점이에요? 영등포 지점이에요. 아 영등포에요? 예. 검색하시면 나오시는데. 아니 전화번호를 검색을 해봤는데 전화번호가 안나와서.. 저희 농협캐피탈 본사 대표번호 확인 안되세요? 그리고 이 번호는 저희 심사부 번호세요. 아까 인사드릴 때 심사부라고 안내.. 인사 먼저 드렸었는데.. 아.. 농협캐피탈에 그러면 제가 전화를 해서 요즘에 이런 사기가 많으니까 제가 사실 불안해가지고 그러는데 그럼 전화해서 재직 여부를 확인해주시면 상관없을까요? 아 상관없으세요. 확인해주시구요. 전화주세요. 아 네 알겠습니다. 성함이 다시 한번만.. 네 공철입니다. 외자입니다. 아 네네 영등포지점이라고 하셨죠? 네. 아 네 알겠습니다.,1033
"대출금 수정 이후 연체가 없으실 경우 원리금 균등분할상원금 만기시 상환 방식 중 상환 방식 1회 변경 가능하시며 중도상환 수수료가 가능하시니 계약 만기 이전이라도 여유자금 있으실 때 부분 혹은 전액 자유롭게 수수료 없이 중도상환 가능하십니다. 대출 약정기간은 어떻게 설정 도와드릴까요? 잠시만 기다려주세요. 설정 도와드리겠습니다. 다음으로 상환 방식 설정 놓치하도록 하겠습니다. 원금 만기 시상한 것이 두 가지 방식이 있으십니다. 자동이체는 농협계좌 맞나요? 그 대출금을 포함해서 절대로 연체를 하시면 안됩니다. 그리고 두 번째는 고객님께서는 그럴 일은 없으시겠지만 여러 다른 고객분들은 대출금액을 이용하여서 사행성 오락이나 불법 스포츠 도박자금 등으로 사용하여서 전액 환수가 되신 분들이 가끔 계시는데 대출 승인금액을 사행성 오락, 유흥비 혹은 도박자금 이런 불법자금으로 사용되시는 게 거래 내역에 기재가 되면 불미스럽게도 대출금 회수 및 계약이 취재될 수 있으니 이 점 참고해주시고 10개월 동안만 주의해주시기 바랍니다. 모든 계약노치금 완료되셨고요. 수고하셨습니다. 한국자산관리공사 캠콘신사팀 이민호 과장이었습니다.",571
